text,label
loved it product,positive
worst service,negative
terrible service,negative
worst service,negative
average item,neutral
worst service,negative
excellent product,positive
very happy product,positive
fine item,neutral
good product,positive
hate it service,negative
average item,neutral
fantastic product,positive
hate it service,negative
satisfied product,positive
very happy product,positive
poor service,negative
excellent product,positive
fine item,neutral
good product,positive
hate it service,negative
loved it product,positive
average item,neutral
excellent product,positive
poor service,negative
excellent product,positive
fine item,neutral
average item,neutral
good product,positive
not good service,negative
not great item,neutral
okay item,neutral
loved it product,positive
poor service,negative
excellent product,positive
normal item,neutral
fantastic product,positive
excellent product,positive
average item,neutral
fine item,neutral
normal item,neutral
very disappointed service,negative
not great item,neutral
fantastic product,positive
great product,positive
not good service,negative
satisfied product,positive
great product,positive
not bad item,neutral
average item,neutral
poor service,negative
very disappointed service,negative
not good service,negative
worst service,negative
okay item,neutral
bad service,negative
very disappointed service,negative
excellent product,positive
terrible service,negative
not bad item,neutral
poor service,negative
loved it product,positive
not great item,neutral
not great item,neutral
great product,positive
not good service,negative
worst service,negative
fantastic product,positive
fine item,neutral
fine item,neutral
amazing product,positive
not good service,negative
normal item,neutral
great product,positive
poor service,negative
satisfied product,positive
hate it service,negative
very happy product,positive
terrible service,negative
not good service,negative
great product,positive
amazing product,positive
worst service,negative
bad service,negative
very disappointed service,negative
fine item,neutral
not good service,negative
loved it product,positive
bad service,negative
satisfied product,positive
normal item,neutral
amazing product,positive
average item,neutral
okay item,neutral
good product,positive
not bad item,neutral
loved it product,positive
not good service,negative
great product,positive
not great item,neutral
not good service,negative
satisfied product,positive
not good service,negative
terrible service,negative
not good service,negative
average item,neutral
excellent product,positive
not bad item,neutral
amazing product,positive
hate it service,negative
normal item,neutral
good product,positive
satisfied product,positive
amazing product,positive
loved it product,positive
average item,neutral
great product,positive
hate it service,negative
poor service,negative
okay item,neutral
poor service,negative
not great item,neutral
great product,positive
poor service,negative
very disappointed service,negative
fantastic product,positive
amazing product,positive
very disappointed service,negative
excellent product,positive
fantastic product,positive
very disappointed service,negative
bad service,negative
normal item,neutral
terrible service,negative
loved it product,positive
not great item,neutral
loved it product,positive
great product,positive
satisfied product,positive
worst service,negative
very disappointed service,negative
fine item,neutral
excellent product,positive
normal item,neutral
normal item,neutral
very happy product,positive
very disappointed service,negative
not good service,negative
fine item,neutral
great product,positive
very disappointed service,negative
bad service,negative
not bad item,neutral
not bad item,neutral
not good service,negative
normal item,neutral
normal item,neutral
fine item,neutral
bad service,negative
not great item,neutral
worst service,negative
amazing product,positive
not bad item,neutral
loved it product,positive
worst service,negative
fine item,neutral
very happy product,positive
excellent product,positive
hate it service,negative
average item,neutral
excellent product,positive
okay item,neutral
not good service,negative
great product,positive
very disappointed service,negative
very disappointed service,negative
not bad item,neutral
very disappointed service,negative
okay item,neutral
excellent product,positive
bad service,negative
not bad item,neutral
not good service,negative
okay item,neutral
terrible service,negative
poor service,negative
bad service,negative
not great item,neutral
poor service,negative
hate it service,negative
fine item,neutral
fantastic product,positive
hate it service,negative
okay item,neutral
average item,neutral
average item,neutral
average item,neutral
poor service,negative
terrible service,negative
bad service,negative
terrible service,negative
not good service,negative
normal item,neutral
amazing product,positive
very disappointed service,negative
amazing product,positive
good product,positive
loved it product,positive
terrible service,negative
fantastic product,positive
poor service,negative
poor service,negative
very disappointed service,negative
terrible service,negative
good product,positive
fine item,neutral
excellent product,positive
